,indice,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,Address2,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel,Pattern_Add1
0,0,IMMEUBLE LE PARVIS PLACE DE L HOTEL DE VILLE 33160 SAINT-MEDARD-EN-JALLES FRANCE,NONE,IMMEUBLE LE PARVIS,NONE,NONE,NONE,NONE,PLACE DE L HOTEL DE VILLE,NONE,33160.0,SAINT-MEDARD-EN-JALLES,FRANCE,IMMEUBLE LE PARVIS PLACE DE L HOTEL DE VILLE 33160 SAINT-MEDARD-EN-JALLES FRANCE,NONE,IMMEUBLE LE PARVIS,NONE,NONE,NONE,NONE,PLACE DE L HOTEL DE VILLE,NONE,33160.0,SAINT-MEDARD-EN-JALLES,FRANCE,Match,EB RN C
1,1,GOYAC 40140 MAGESCQ FRANCE,NONE,NONE,NONE,GOYAC,NONE,NONE,NONE,NONE,40140.0,MAGESCQ,FRANCE,GOYAC 40140 MAGESCQ FRANCE,NONE,NONE,NONE,GOYAC,NONE,NONE,NONE,NONE,40140.0,MAGESCQ,FRANCE,Match,Z C
2,2,ZONE INDUSTRIELLE 27 DEUXIEME AVENUE BP 214 5110 VITROLLES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,27,DEUXIEME AVENUE,BP 214,5110.0,VITROLLES,FRANCE,27 DEUXIEME AVENUE BP 214 5110 VITROLLES FRANCE,NONE,NONE,NONE,NONE,NONE,27,DEUXIEME AVENUE,BP 214,5110.0,VITROLLES,FRANCE,Match,Z HN RN C
3,3,RUE DES ECOLES 31470 SAINT-LYS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES ECOLES,NONE,31470.0,SAINT-LYS,FRANCE,RUE DES ECOLES 31470 SAINT-LYS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE DES ECOLES,NONE,31470.0,SAINT-LYS,FRANCE,Match,RN C
4,4,ZAC SAINT DONAIN 6 RUE CROIX SAINT JACQUES 77130 MAROLLES-SUR-SEINE FRANCE,NONE,NONE,NONE,ZAC SAINT DONAIN,NONE,6,RUE CROIX SAINT JACQUES,NONE,77130.0,MAROLLES-SUR-SEINE,FRANCE,6 RUE CROIX SAINT JACQUES 77130 MAROLLES-SUR-SEINE FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE CROIX SAINT JACQUES,NONE,77130.0,MAROLLES-SUR-SEINE,FRANCE,Match,Z HN RN C
5,5,RESIDENCE LES BAMBOUS 2 RUE DE LA CASERNE 11310 SAINT-DENIS FRANCE,NONE,RESIDENCE LES BAMBOUS,NONE,NONE,NONE,2,RUE DE LA CASERNE,NONE,11310.0,SAINT-DENIS,FRANCE,2 RUE DE LA CASERNE 11310 SAINT-DENIS FRANCE,NONE,NONE,NONE,NONE,NONE,2,RUE DE LA CASERNE,NONE,11310.0,SAINT-DENIS,FRANCE,Match,EB HN RN C
6,6,34 A RUE DU MARECHAL FRENCH 59140 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,NONE,34 A,RUE DU MARECHAL FRENCH,NONE,59140.0,DUNKERQUE,FRANCE,34 A RUE DU MARECHAL FRENCH 59140 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,NONE,34 A,RUE DU MARECHAL FRENCH,NONE,59140.0,DUNKERQUE,FRANCE,Match,HN RN C
7,7,ZONE INDUSTRIELLE 50470 CHERBOURG-EN-COTENTIN FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,50470.0,CHERBOURG-EN-COTENTIN,FRANCE,ZONE INDUSTRIELLE 50470 CHERBOURG-EN-COTENTIN FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,50470.0,CHERBOURG-EN-COTENTIN,FRANCE,Match,Z C
8,8,ZONE COMMERCIALE AVENUE FRANKLIN ROOSEVELT 80220 BOUTTENCOURT FRANCE,NONE,NONE,NONE,ZONE COMMERCIALE,NONE,NONE,AVENUE FRANKLIN ROOSEVELT,NONE,80220.0,BOUTTENCOURT,FRANCE,ZONE COMMERCIALE AVENUE FRANKLIN ROOSEVELT 80220 BOUTTENCOURT FRANCE,NONE,NONE,NONE,ZONE COMMERCIALE,NONE,NONE,AVENUE FRANKLIN ROOSEVELT,NONE,80220.0,BOUTTENCOURT,FRANCE,Match,Z RN C
9,9,29 RUE DE LA GARE 67260 KESKASTEL FRANCE,NONE,NONE,NONE,NONE,NONE,29,RUE DE LA GARE,NONE,67260.0,KESKASTEL,FRANCE,29 RUE DE LA GARE 67260 KESKASTEL FRANCE,NONE,NONE,NONE,NONE,NONE,29,RUE DE LA GARE,NONE,67260.0,KESKASTEL,FRANCE,Match,HN RN C
10,10,IMMEUBLE SANA 13 RUE DU COMMERCE 97600 MAMOUDZOU FRANCE,NONE,IMMEUBLE SANA,NONE,NONE,NONE,13,RUE DU COMMERCE,NONE,97600.0,MAMOUDZOU,FRANCE,13 RUE DU COMMERCE 97600 MAMOUDZOU FRANCE,NONE,NONE,NONE,NONE,NONE,13,RUE DU COMMERCE,NONE,97600.0,MAMOUDZOU,FRANCE,Match,EB HN RN C
11,11,27 RUE VOLTAIRE 80340 BRAY-SUR-SOMME FRANCE,NONE,NONE,NONE,NONE,NONE,27,RUE VOLTAIRE,NONE,80340.0,BRAY-SUR-SOMME,FRANCE,27 RUE VOLTAIRE 80340 BRAY-SUR-SOMME FRANCE,NONE,NONE,NONE,NONE,NONE,27,RUE VOLTAIRE,NONE,80340.0,BRAY-SUR-SOMME,FRANCE,Match,HN RN C
