companyI,AddI,CompanyK,AddK,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel
TRANSPORTS FRIGORIFIQUES DU ROANNAIS,120 rue de la pierre plante 42650 Saint Jean Bonnefonds France,TRANSPORTS FRIGORIFIQUES DU ROANNAIS,120 RUE DE LA PIERRE PLANTEE 42650 SAINT JEAN BONNEFONDS France,NONE,NONE,NONE,NONE,NONE,120,RUE DE LA PIERRE PLANTE,NONE,42650,SAINT JEAN BONNEFONDS,FRANCE,NONE,NONE,NONE,NONE,NONE,120,RUE DE LA PIERRE PLANTEE,NONE,42650,SAINT JEAN BONNEFONDS,FRANCE,Match
TRANSPORTS STIM,501 rue PAUL ROGER 60400 NOYON France,SOC TRANSP INTERNATIONAUX MAGASINAGE SOCIETE TRANSPORTS INTERNATIONAUX MAGASINAGE,501 RUE PAUL ROGER 60400 NOYON France,NONE,NONE,NONE,NONE,NONE,501,RUE PAUL ROGER,NONE,60400,NOYON,FRANCE,NONE,NONE,NONE,NONE,NONE,501,RUE PAUL ROGER,NONE,60400,NOYON,FRANCE,Match
TCF DEMENAGEMENTS,18 RUE PIERRE SEMARD ZI VOUILLANDS 38600 FONTAINE France,C.F.D. - DEMENAGEMENTS A.B.C. DEMENAGEMENTS T.C.F.,18 RUE PIERRE SEMARD 38600 FONTAINE France,NONE,NONE,NONE,ZONE INDUSTRIELLE VOUILLANDS,NONE,18,RUE PIERRE SEMARD,NONE,38600,FONTAINE,FRANCE,NONE,NONE,NONE,NONE,NONE,18,RUE PIERRE SEMARD,NONE,38600,FONTAINE,FRANCE,Match
TRANSPORTS SPECIOSO,"42, avenue de Rome 13127 Vitrolles France",SPECIOSO,42 AV DE ROME 13127 VITROLLES France,NONE,NONE,NONE,NONE,NONE,42,AVENUE DE ROME,NONE,13127,VITROLLES,FRANCE,NONE,NONE,NONE,NONE,NONE,42,AVENUE DE ROME,NONE,13127,VITROLLES,FRANCE,Match
LUX ROLAND DEMENAGEMENTS,3 Rue Joseph Marie Jacquard 67400 ILLKIRCH-GRAFFENSTADEN France,DEMENAGEMENTS LUX ROLAND,3 RUE JOSEPH MARIE JACQUARD 67400 ILLKIRCH GRAFFENSTADEN France,NONE,NONE,NONE,NONE,NONE,3,RUE JOSEPH MARIE JACQUARD,NONE,67400,ILLKIRCH GRAFFENSTADEN,FRANCE,NONE,NONE,NONE,NONE,NONE,3,RUE JOSEPH MARIE JACQUARD,NONE,67400,ILLKIRCH GRAFFENSTADEN,FRANCE,Match
LOGISTIQUE VINS DISTRIBUTION,265 rue du Beaujolais - Imp. du Moulin 69830 ST GEORGES DE RENEINS France,LOGISTIC VINS DISTRIBUTION LOGISTIC VINS DISTRIBUTION,265 RUE DU BEAUJOLAIS IMPASSE DU MOULIN 69830 SAINT GEORGES DE RENEINS France,NONE,NONE,NONE,NONE,NONE,265,RUE DU BEAUJOLAIS IMPASSE DU MOULIN,NONE,69830,SAINT GEORGES,FRANCE,NONE,NONE,NONE,NONE,NONE,265,RUE DU BEAUJOLAIS IMPASSE DU MOULIN,NONE,69830,SAINT GEORGES,FRANCE,Match
FEDEX EXPRESS FRANCE 10 TROYES,3 Rue William Catherine Booth 10000 TROYES France,FEDEX EXPRESS FRANCE F\XE9DEX EXPRESS FRANCE TROYES,7 RUE WILLIAM CATHERINE BOOTH 10000 TROYES France,NONE,NONE,NONE,NONE,NONE,3,RUE WILLIAM CATHERINE BOOTH,NONE,10000,TROYES,FRANCE,NONE,NONE,NONE,NONE,NONE,7,RUE WILLIAM CATHERINE BOOTH,NONE,10000,TROYES,FRANCE,PartialMatch
SOTRADEL FRET,45 CHEMIN DES PLAGNES 01600 SAINTE EUPHEMIE France,SOTRADEL FRET,45 CHE DES PLAGNES ZONE ARTISANALE 01600 SAINTE EUPHEMIE France,NONE,NONE,NONE,NONE,NONE,45,CHEMIN DES PLAGNES,NONE,1600,SAINTE EUPHEMIE,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE,NONE,45,CHEMIN DES PLAGNES,NONE,1600,SAINTE EUPHEMIE,FRANCE,Match
MCANIQUE AUTO MOTO TRANSPORTS D'AQUITAINE,84 ROUTE DES ARTIQUES BP 28 33910 SAINT DENIS DE PILE FRANCE,MAMTA TRANSPORT M\XE9CANIQUE AUTO MOTO TRANSPORTS D'AQUITAINE,84 RTE DES ARTIGUES 33910 SAINT DENIS DE PILE France,NONE,NONE,NONE,NONE,NONE,84,ROUTE DES ARTIQUES,BP 28,33910,SAINT DENIS,FRANCE,NONE,NONE,NONE,NONE,NONE,84,ROUTE DES ARTIGUES,NONE,33910,SAINT DENIS,FRANCE,Match
SOCIT D'EXPLOITATION DES TRANSPORTS FOIX,6 RUE DE L'ARLAS 64303 ORTHEZ CDEX FRANCE,STE D'EXPLOITATION DES TRANSPORTS FOIX STE D'EXPLOITATION DES TRANSPORTS FOIX,6 RUE DE L ARLAS LOTBERRE BISTE 64300 ORTHEZ France,NONE,NONE,NONE,NONE,NONE,6,RUE DE L'ARLAS,NONE,64303,ORTHEZ,FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE DE L ARLAS LOTBERRE BISTE,NONE,64300,ORTHEZ,FRANCE,Match
CHAMFRAY CHRISTIAN,22 RUE LOUIS PRADEL 69960 CORBAS FRANCE,TRANSPORTS CHRISTIAN CHAMFRAY,22 RUE LOUIS PRADEL 69960 CORBAS France,NONE,NONE,NONE,NONE,NONE,22,RUE LOUIS PRADEL,NONE,69960,CORBAS,FRANCE,NONE,NONE,NONE,NONE,NONE,22,RUE LOUIS PRADEL,NONE,69960,CORBAS,FRANCE,Match
S.E AUTOCARS SUAU,47 avenue d'Albi 81250 ALBAN France,SOCIETE EXPLOITATION DES AUTOCARS SUAU SOCI\XE9T\XE9 D'EXPLOITATION DES AUTOCARS SUAU,47 AV D'ALBI 81250 ALBAN France,NONE,NONE,NONE,NONE,NONE,47,AVENUE D'ALBI,NONE,81250,ALBAN,FRANCE,NONE,NONE,NONE,NONE,NONE,47,AVENUE D'ALBI,NONE,81250,ALBAN,FRANCE,Match
EB TRANSPORTS,26 AVENUE RENE CASSIN 47200 MARMANDE FRANCE,EB TRANSPORTS,26 AV RENE CASSIN 47200 MARMANDE France,NONE,NONE,NONE,NONE,NONE,26,AVENUE RENE CASSIN,NONE,47200,MARMANDE,FRANCE,NONE,NONE,NONE,NONE,NONE,26,AVENUE RENE CASSIN,NONE,47200,MARMANDE,FRANCE,Match
TRANSPORTS FOULADOUX,7 RUE NEWTON 17440 AYTRE FRANCE,EURL TRANSPORTS FOULADOUX,7 RUE NEWTON 17440 AYTRE France,NONE,NONE,NONE,NONE,NONE,7,RUE NEWTON,NONE,17440,AYTRE,FRANCE,NONE,NONE,NONE,NONE,NONE,7,RUE NEWTON,NONE,17440,AYTRE,FRANCE,Match
WAYLOG,ZI LES FOURNELS - 370 CHEMIN DES FOURNELS 34400 LUNEL-VIEL France,WAYLOG,370 CHE DES FOURNELS 34400 LUNEL VIEL France,NONE,NONE,NONE,ZONE INDUSTRIELLE LES FOURNELS,NONE,370,CHEMIN DES FOURNELS,NONE,34400,LUNEL VIEL,FRANCE,NONE,NONE,NONE,NONE,NONE,370,CHEMIN DES FOURNELS,NONE,34400,LUNEL VIEL,FRANCE,Match
AQUITRANS,20 chem Barateau 33450 SAINT LOUBES France,AQUITRANS,20 CHE DE BARATEAU 33450 SAINT LOUBES France,NONE,NONE,NONE,NONE,NONE,20,CHEMIN BARATEAU,NONE,33450,SAINT LOUBES,FRANCE,NONE,NONE,NONE,NONE,NONE,20,CHEMIN DE BARATEAU,NONE,33450,SAINT LOUBES,FRANCE,Match
A.T.E.,12 bruyre des Valles 78113 Adainville France,M PASCAL SAULET A.T.E. DCS78,12 BRUYERE DES VALLEES 78113 ADAINVILLE France,NONE,NONE,NONE,NONE,NONE,12,BRUYRE DES VALLES,NONE,78113,ADAINVILLE,FRANCE,NONE,NONE,NONE,NONE,NONE,12,BRUYERE DES VALLEES,NONE,78113,ADAINVILLE,FRANCE,Match
ROAD FROID,4 rue des Arts 82000 MONTAUBAN France,SARL ROAD FROID,4 RUE DES ARTS 82000 MONTAUBAN France,NONE,NONE,NONE,NONE,NONE,4,RUE DES ARTS,NONE,82000,MONTAUBAN,FRANCE,NONE,NONE,NONE,NONE,NONE,4,RUE DES ARTS,NONE,82000,MONTAUBAN,FRANCE,Match
ROBERT QUEVEDO,208 route des tattes 74380 Cranves Sales France,M ROBERT QUEVEDO MONSIEUR ROBERT QUEVEDO,208 RTE DES TATTES DE BORLY 74380 CRANVES SALES France,NONE,NONE,NONE,NONE,NONE,208,ROUTE DES TATTES,NONE,74380,CRANVES SALES,FRANCE,NONE,NONE,NONE,NONE,NONE,208,ROUTE DES TATTES DE BORLY,NONE,74380,CRANVES SALES,FRANCE,Match
OMNIDEM,31 rue de la Viabert 69006 LYON France,OMNIDEM,31 RUE DE LA VIABERT 69006 LYON 6EME France,NONE,NONE,NONE,NONE,NONE,31,RUE DE LA VIABERT,NONE,69006,LYON,FRANCE,NONE,NONE,NONE,NONE,NONE,31,RUE DE LA VIABERT,NONE,69006,LYON,FRANCE,Match
FC TRADECO,81 RUE DU GNRAL GOURAUD 51400 MOURMELON LE GRAND FRANCE,F C TRANSPORTS DEMENAGEMENTS COMMERCES,81 RUE DU GENERAL GOURAUD 51400 MOURMELON LE GRAND France,NONE,NONE,NONE,NONE,NONE,81,RUE DU GNRAL GOURAUD,NONE,51400,MOURMELON LE GRAND,FRANCE,NONE,NONE,NONE,NONE,NONE,81,RUE DU GENERAL GOURAUD,NONE,51400,MOURMELON LE GRAND,FRANCE,Match
FERRYLOG,29 Rue Jules Ferry 10600 LA CHAPELLE ST LUC France,FERRYLOG,29 RUE JULES FERRY 10600 LA CHAPELLE SAINT LUC France,NONE,NONE,NONE,NONE,NONE,29,RUE JULES FERRY,NONE,10600,LA CHAPELLE,FRANCE,NONE,NONE,NONE,NONE,NONE,29,RUE JULES FERRY,NONE,10600,LA CHAPELLE,FRANCE,Match
MGJ TRANSPORTS,RUE JEAN-BAPTISTE COLBERT 10600 LA CHAPELLE ST LUC FRANCE,MGJ TRANSPORTS MGJ TRANSPORTS SARL,RUE JEAN BAPTISTE COLBERT 10600 LA CHAPELLE SAINT LUC France,NONE,NONE,NONE,NONE,NONE,NONE,RUE JEAN BAPTISTE COLBERT,NONE,10600,LA CHAPELLE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE JEAN BAPTISTE COLBERT,NONE,10600,LA CHAPELLE,FRANCE,Match
EVOLUTION COURSES SERVICES,7 Passage CARDINET 75017 PARIS France,SARL ECS EVOLUTION COURSES SERVICES,7 PAS CARDINET 75017 PARIS 17 France,NONE,NONE,NONE,NONE,NONE,7,PASSAGE CARDINET,NONE,75017,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,7,PASSAGE CARDINET,NONE,75017,PARIS,FRANCE,Match
SEA ROAD LOGISTIC,10 RUE JEAN ROUXEL 44700 ORVAULT France,SEA ROAD LOGISTIC SEA ROAD LOGISTIC,ZA DE LA PENTECOTE CTREE D AFFAIRES 44700 ORVAULT France,NONE,NONE,NONE,NONE,NONE,10,RUE JEAN ROUXEL,NONE,44700,ORVAULT,FRANCE,NONE,NONE,NONE,ZONE ARTISANALE DE LA PENTECOTE CENTRE E D AFFAIRES,NONE,NONE,NONE,NONE,44700,ORVAULT,FRANCE,PartialMatch
BARY ET FILS,83 RUE DE THUREY 10180 SAINT BENOIT SUR SEINE FRANCE,SARL BARY ET FILS,83 RUE DE THUREY 10180 SAINT BENOIT SUR SEINE France,NONE,NONE,NONE,NONE,NONE,83,RUE DE THUREY,NONE,10180,SAINT BENOIT,FRANCE,NONE,NONE,NONE,NONE,NONE,83,RUE DE THUREY,NONE,10180,SAINT BENOIT,FRANCE,Match
FARGUES JEAN-PAUL,3 Ancien Chemin de Villeneuve 31120 PORTET SUR GARONNE France,M JEAN-PAUL FARGUES,3  CHEM DE VILLENEUVE 31120 PORTET SUR GARONNE France,NONE,NONE,NONE,NONE,NONE,3,ANCIEN CHEMIN DE VILLENEUVE,NONE,31120,PORTET SUR GARONNE,FRANCE,NONE,NONE,NONE,NONE,NONE,3,CHEMIN DE VILLENEUVE,NONE,31120,PORTET SUR GARONNE,FRANCE,Match
TRANSPORTS SOGNY SA,16 RUE DU CHANOINE HESS 51100 REIMS France,TRANSPORTS SOGNY,16 RUE DU CHANOINE HESS 51100 REIMS France,NONE,NONE,NONE,NONE,NONE,16,RUE DU CHANOINE HESS,NONE,51100,REIMS,FRANCE,NONE,NONE,NONE,NONE,NONE,16,RUE DU CHANOINE HESS,NONE,51100,REIMS,FRANCE,Match
